"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"15x51",0,0,0.654722497716795,0,0,0,0,0,0,0.00887763932787558,0,0,0,0,0,0.328988353278858,0.00684270196749857
"15x53",0,0,0.679479495656269,0,0,0,0,0,0,0,0,0.0209480839765137,0,0,0,0.291379922784972,0.00735489491930575
"15x55",0,0,0.734886252580009,0,0.00505266582263525,0,0,0,0,0,0,0,0,0,0.0105007640394381,0.229953488793422,0.0190305637099095
"15x57",0,0,0.680911618314801,0,0,0,0,0,0,0.00467762499344795,0,0,0,0,0.0116602475774949,0.298639848373771,0.00360243787110573
"16x42",0,0,0.626399043356819,0.00487069245184409,0,0,0,0.0136617041442785,0,0.0184075562321529,0,0,0,0,0.0368520487120786,0.28187740460198,0.0176289641841784
"16x44",0,0,0.677219864493835,0.0107352485262484,0,0,0,0,0,0,0,0,0,0,0.0219039405011591,0.280811842503674,0.00892472242524379
"16x46",0,0,0.567292156598275,0.0279261874581977,0,0,0.0183697111312349,0,0,0,0,0,0,0,0.0282392936506127,0.345519327194258,0.012362815696939
"16x48",0,0,0.672552693769164,0.0231993249812115,0.0330037745425186,0,0,0.0169043363240216,0,0,0,0,0,0,0.00632082735060941,0.228610984663319,0.0191771017656701
"16x50",0,0,0.689461821493616,0.0174780559860963,0.0389681265341793,0,0,0,0,0,0,0,0,0,0.00198531342356947,0.231488734437467,0.0195062459251712
"16x52",0.010650990996946,0,0.689329180164453,0,0,0,0,0,0,0.0124964350655241,0,0,0,0,0,0.284950280213662,0.00200765186239487
"16x54",0,0,0.705660765735995,0.00657258428817704,0,0,0,0,0,0,0,0,0,0,0,0.272378015884716,0.0149295061781624
"16x56",0.0101978374635421,0,0.695613742331706,0,0.0166899023112292,0,0.00346176364357735,0,0,0.00788018733922831,0,0,0,0,0,0.252806902755507,0.0128487196330316
"16x58",0,0,0.675892281210393,0,0,0,0.003458486148737,0,0,0,0,0,0,0,0,0.299969097834422,0.0201753123661175
"17x41",0,0,0.660929669015476,0.0439630770879391,0,0.0234593677025315,0,0,0,0.0145311584036273,0,0,0,0,0.0116089773091906,0.229507923004778,0.0156866353536921
"17x43",0,0,0.691800978126508,0.00350203647514711,0,0,0.0267597944297335,0,0,0,0,0,0,0,0.0259563514877831,0.24622339728272,0.00545634310620267
"17x45",0,0,0.657115869154362,0,0,0,0,0,0.0163794580192785,0,0,0,0,0,0.0388135022579126,0.275085938881011,0.0119980605972155
