"","Interneuron","Microglia","Macrophage","Ependymal","Choroid_plexus","Neurogenesis","Cajal_Retzius","Endothelial_stalk","Mural","Endothelial_tip","Neuron","Entorhinal.cortex","Deep.layer.subiculum","Entorhinal.cortex..IEG.","Dentate.principal","CA1.principle.anterior","CA1.principal","Anterior.Subiculum..proximal.to.CA1","CA3","Lateral.CA3.principal","CA2","Dentate.hilum","Astrocyte","Oligodendrocyte","MyelinProcesses","Polydendrocyte","Layer.6","Layer.5","Medial.habenula","Medial.habenular..lateral.portion","Lateral.habenula","Lateral.Geniculate.Nucleus...LGN.","Lateral.dorsal.thalamic.nuclei..LD."
"merge_spot4112",0.0992279382955619,0.00987493969417957,0,0,0,0,0.0770467311624077,0.0248017163615632,0.0268979106268108,0,0.144234728519908,0.0718180129238421,0,0,0,0,0.0566378416176174,0,0.125773258451626,0,0,0,0.0261673974957374,0,0.0313258364351922,0,0,0.268550904548674,0,0,0,0,0.0362461181736833
"merge_spot4113",0.0932288556074217,0.0130617695491176,0,0.0012770740366019,0.00305206165000791,0,0.0102845473487891,0,0,0,0,0.025152194144037,0.0418010185065468,0.00492537797624155,0.00551921650337796,0,0.162486051518867,0,0.0392197975916455,0,0.0256136604376347,0,0.00972283114458404,0,0.00544596754401969,0.0147176267065383,0,0.532840431312854,0,0,0,0,0.010797865242674
"merge_spot4114",0.0700684178510161,0.0109366884528884,0.00781958641088098,0,0,0.0139882585449741,0.00937467574177943,0.00244318175835543,0,0,0,0.0519025321532814,0.0192732474835166,0,0.00610071968757405,0,0.186270970197198,0,0,0,0,0,0.0761984976059074,0,0.0181914416627794,0,0,0.448575279516901,0.00132548616191852,0,0,0,0.0766139296092335
"merge_spot4115",0,0.0283518222440905,0,0,0.0185169517189869,0,0,0,0.0111742528095061,0,0,0,0.0102133990470555,0,0,0,0.0747728825619343,0,0.0179121391616026,0,0,0,0,0,0.0558270491458911,0.00132765909550746,0.489326120612145,0.231199053120351,0,0,0,0,0.0602248207581568
"merge_spot4116",0.106137471442071,0.0174946960117126,0,0,0.0130201733155513,0.031009717615877,0,0,0,0,0,0,0.00636533415643304,0.0574474471782696,0,0,0.253443093757014,0.00838886238612547,0,0,0,0,0.0346243220578555,0,0.0333590355621391,0,0.153797641085878,0.2576354961418,0,0.00275831528232247,0,0,0.0236207599415843
"merge_spot4117",0,0.0034197829896204,0.0172893995432396,0.00688094921349053,0,0,0,0,0,0,0,0,0.434681714866078,0,0,0,0.0760043216410413,0,0,0,0,0,0.0557912066502812,0,0.00523010328566549,0.00376381687051472,0.0325483996472172,0.348622608074886,0.0152003197646684,0,0,0,0
"merge_spot4118",0,0.0122225861577034,0,0,0,0,0,0.00834245341583974,0,0,0,0,0,0.0513213526380293,0,0,0.0610355065724881,0,0,0,0,0,0.0654957293260176,0.00140068176499544,0.227869413996018,0.0396454947086789,0.342264828946997,0.178466375914762,0.00568278831758109,0,0,0,0.00574289698508049
"merge_spot4119",0,0.00672858943215139,0,0,0,0,0,0.00360216328763479,0,0,0.0849022754290887,0,0.0297215554736322,0.127929997023264,0,0,0,0,0.112921278965471,0,0,0,0.0111203112315476,0,0.00812453205638244,0.00278184600908118,0.366021953528298,0.242976304462259,0,0,0.00137207635574396,0,0
"merge_spot4120",0,0.0149254249170147,0,0,0,0,0,0,0,0,0.0667110223756458,0,0,0.0608423827138027,0,0,0.105962822956771,0,0.0069572881460669,0,0,0,0.0204763856529965,0,0.0182275788571202,0.0158601264781745,0.270442871394292,0.418747119822158,0,0,0,0,0
"merge_spot4121",0.170645258264091,0.0207176108818755,0,0,0,0.0400781836279294,0.00188300129062785,0,0.0114820744649666,0,0,0,0,0.0525597329270631,0,0,0.0350980230502532,0,0.0143192681020209,0,0,0,0,0,0.0166056427148409,0,0.321497172670405,0.312707991000748,0,0,0,0,0
"merge_spot4122",0.0218491308506681,0.0140936637892795,0,0,0,0,0.009384613063917,0,0,0,0,0,0,0.0187339914426867,0,0,0.0483961216980188,0,0.0549643573986931,0,0,0,0.0456378613870271,0.173363190678624,0.0686015042196008,0.0340900294953347,0.510315718372972,0,0,0,0,0,0
"merge_spot4123",0.0611684283222263,0.0169660471492064,0,0,0,0,0.0683901026988122,0,0,0,0.131964845848274,0,0.0240015910208997,0.152117394912169,0,0,0.0859799687545329,0,0.124135709755795,0,0,0,0,0,0.0958978540954174,0.0261986897248607,0.212172084225344,0,0,0,0,0,0
